,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,710.8800176143646,0.5220155715942383,9.584238796378486e-06,2.8626873699977294e-06,0.06469896425662922,0.008298895030884542,-0.40168015294363196,0.8314357046355016
std,3.978767259663724,0.2649334509821765,9.810466295570407e-07,2.211543848492427e-07,0.0074344660410348255,0.0013549749392523193,0.2844027936931414,0.02519043601496292
min,705.3207552433014,0.22442007064819336,8.206255188270006e-06,2.689775101316627e-06,0.05213029558783015,0.007323339055952575,-0.8432009328056747,0.7958351452407422
25%,708.2157242298126,0.32281064987182617,9.228259841620456e-06,2.691152985789813e-06,0.06390340253912505,0.007445642219227748,-0.4580864987381299,0.8192939125966132
50%,712.4419898986816,0.47367382049560547,9.429249075765256e-06,2.7330759166943608e-06,0.06835563375150958,0.007643228263977444,-0.4015355692922571,0.8324296074756464
75%,713.6232748031616,0.7664234638214111,1.0438831850478891e-05,3.0399264687730465e-06,0.06855494971246028,0.00850482440131803,-0.18039115430207953,0.8509555316022553
max,714.7983438968658,0.8227498531341553,1.061859802575782e-05,3.1595063774148002e-06,0.07055053969222103,0.010577441213946909,-0.12518660958001893,0.8586643262622513
