,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,117.62802038192748,0.39913482666015626,0.001122495182789862,0.0011207369156181813,0.0009023004636367812,0.0008997454639106225,0.9857623143680027,0.9861376181210479
std,4.32005539780733,0.11864465890710525,2.2677560423889837e-05,1.2060895439461894e-05,1.8686767619200927e-05,1.161509533208358e-05,0.0008745863566862159,0.001905764182636819
min,111.53610491752625,0.29616451263427734,0.0010972560849040747,0.0011098083341494203,0.0008813972237157807,0.0008842549226462219,0.9845804355739007,0.9829518525296611
25%,114.65696668624878,0.34230542182922363,0.0011133135994896293,0.0011118613183498383,0.0008947687107549232,0.0008924486126140427,0.9854676667108262,0.9860144715080105
50%,119.79967999458313,0.3742663860321045,0.0011152325896546245,0.0011159655405208468,0.000895634538373387,0.0009020493803730523,0.9855225728617213,0.9868304494866007
75%,120.7188925743103,0.38010430335998535,0.0011289444519206882,0.0011275976430624723,0.0009088364637321358,0.0009060282612442985,0.9864693083215218,0.9869652804556025
max,121.428457736969,0.6028335094451904,0.0011577291879802942,0.0011384517420083284,0.0009308653816076795,0.0009139461426754972,0.9867715883720435,0.9879260366253653
