,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,822.1468401432037,3.646012544631958,1.1634840291208093e-07,1.1612001742378197e-07,0.04558839883894473,0.04471490239459196,0.5563750662370719,0.5648495310701689
std,14.49875291636026,1.6757838477303775,2.2352608759339754e-08,2.2611482749698755e-08,0.002379510885038047,0.0005750646874866862,0.01848845788806901,0.004395622139353384
min,804.8934464454651,1.0787856578826904,9.019332480875164e-08,8.917010063669295e-08,0.041739760074226834,0.04415559453578678,0.53982524873101,0.5575360209055855
25%,815.265702009201,2.91780161857605,1.0275022077621543e-07,1.0246383652656732e-07,0.044850760649993555,0.044454424787901556,0.5441625819870269,0.5650286818127981
50%,816.9641723632812,4.1718339920043945,1.1543924927082116e-07,1.1541677480408907e-07,0.046716779286057136,0.04450303547710857,0.552701796569062,0.5652136290853942
75%,832.3773169517517,5.021193265914917,1.2439109298156836e-07,1.249721037765994e-07,0.047175235849677304,0.04480347994401736,0.5583674343381135,0.5676364716158783
max,841.2335629463196,5.040448188781738,1.4896812672304804e-07,1.4857727137496113e-07,0.047459458334768806,0.045657977228145546,0.5868182695601469,0.5688328519311887
