,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,749.1643489837646,7.98580527305603,7.467911491403356e-05,0.00013908458058722317,0.06914041259962118,0.009621273159522905,-0.4943900664262504,0.8053333530219039
std,4.459134009339913,3.3202145015988607,1.5201782611176536e-05,1.6729562814643088e-05,0.008896006187228682,0.002427296240398851,0.2954332454824007,0.05528617085454091
min,741.7672607898712,5.674319744110107,6.1030950746499e-05,0.00011470168828964233,0.057496355183803624,0.007253801617403753,-0.9611924791831203,0.7275912665710007
25%,748.3446292877197,6.050151348114014,6.127811502665281e-05,0.00012983166379854083,0.0662256789051358,0.007816114059209555,-0.5447773308051003,0.7718182536159177
50%,750.9364564418793,6.535093069076538,7.531858864240348e-05,0.00014638919674325734,0.06740048119258729,0.008599331976583214,-0.4366718344551703,0.8193112623694825
75%,752.0408642292023,7.947842359542847,7.765232294332236e-05,0.00014781464415136725,0.07301049707532348,0.011929253637965199,-0.3641315834898151,0.8458447046095986
max,752.7325341701508,13.721619844436646,9.811559721129015e-05,0.0001566857099533081,0.0815690506412557,0.0125078645064528,-0.16517710419804565,0.8621012779435194
