,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,135.96152338981628,0.1715001106262207,0.0007441872032359243,0.0007438290980644524,0.0006060241547175705,0.0006036916315869692,0.988753038873407,0.9892556021401673
std,14.708711508916661,0.07222883476528846,1.3664328231871856e-05,9.098338329476361e-06,1.1171548588904674e-05,7.047386751708681e-06,0.0005694260684683843,0.0005773394178809905
min,109.65001082420349,0.09117317199707031,0.0007299600401893258,0.0007364918710663915,0.0005914578401290414,0.0005974704372630308,0.9880749402606867,0.9883113935670527
25%,142.47430181503296,0.10770416259765625,0.0007319296128116548,0.0007396964356303215,0.0006023235452516391,0.0005978708706062686,0.9882151886488337,0.9891147732453581
50%,142.49092817306519,0.1724846363067627,0.0007444284274242818,0.000740194576792419,0.0006057248077519001,0.000604008539683989,0.9890387814653131,0.9895322785965773
75%,142.5636067390442,0.23598361015319824,0.0007523202220909297,0.0007432288839481771,0.0006082045040847421,0.0006042044203305463,0.989088540802335,0.9895632244184109
max,142.6287693977356,0.250154972076416,0.000762297713663429,0.000759533722884953,0.0006224100763705296,0.0006149038900510116,0.9893477431898661,0.9897563408734373
