,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,19.514617109298705,0.31386728286743165,0.003232968831434846,0.0031214677263051273,0.0025915199058807615,0.002506576430615459,0.9507258636286784,0.9595338373402731
std,3.8544380200138564,0.06146230456899832,0.00046795932693541954,3.2890749097870545e-05,0.00033533292417353645,4.297162542025864e-05,0.026989377727190844,0.00565274534043338
min,14.783373832702637,0.2607898712158203,0.0027104271575808525,0.003084862371906638,0.002198669546435647,0.0024711932119663546,0.9061055354270307,0.9497161690836541
25%,15.841062545776367,0.2841460704803467,0.0030435477383434772,0.003092044498771429,0.0024403821501509278,0.0024734525976186266,0.9469816166250301,0.9598794396731594
50%,22.304506063461304,0.2954897880554199,0.0031148837879300117,0.003123176284134388,0.0025674795921810495,0.002492955144689944,0.9590818409239635,0.9617520716797917
75%,22.318721055984497,0.3098940849304199,0.003325053257867694,0.003148623974993825,0.002640254957058566,0.002520446753183027,0.9663400227205882,0.9629626765631563
max,22.325422048568726,0.41901659965515137,0.003970932215452194,0.0031586315017193556,0.0031108132835776167,0.0025748344456193446,0.9751203024467792,0.9633588297016044
