,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,32.514178133010866,0.18020505905151368,5.705608168682375e-06,5.669586948897632e-06,0.00039925648519167304,0.00030160885235232574,0.7590703845337357,0.825221086523206
std,8.533636158391538,0.09330070278398522,6.251121784433333e-06,6.258998691386934e-06,9.844863408076591e-05,4.42639783290131e-05,0.07284238758392496,0.026942919083724426
min,25.847033977508545,0.1220407485961914,1.0681084177122102e-06,1.0507507113288739e-06,0.000256515955297372,0.00025110870799345124,0.6531065777791939,0.8033583001156485
25%,26.01035499572754,0.12452220916748047,2.9060252018098254e-06,2.9780178465443896e-06,0.00036415039669078714,0.0002609590521029088,0.7142464718813343,0.8057156551692445
50%,27.014575719833374,0.1249237060546875,3.621473297243938e-06,3.5666971598402597e-06,0.00041459365419272646,0.000308294048591152,0.79455736153324,0.8077769356401093
75%,41.83296346664429,0.19068098068237305,4.249641733622411e-06,4.07564493798418e-06,0.00043737567603915564,0.0003404730250770389,0.8103927982507784,0.8522299264423675
max,41.865962505340576,0.33885765075683594,1.6682792193023488e-05,1.6676824088790454e-05,0.0005236467437383238,0.00034720942799707774,0.8230487132241318,0.8570246152486598
