,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,596.3431823730468,0.935918140411377,6.896004924783483e-06,5.982802576909307e-06,0.01391724132995221,0.01284714783721611,0.7746529824101569,0.792072111158571
std,8.300161024362302,0.4454281621397888,8.237492591154963e-07,1.385212838007737e-07,0.0007555978092123368,0.00016239668105421162,0.010640768486552987,0.0026374264484310224
min,586.0742955207825,0.33279895782470703,6.111650236562127e-06,5.86075339015224e-06,0.012870653550154546,0.012604339812180253,0.7557888104622079,0.7896691394042207
25%,592.793737411499,0.6711006164550781,6.193691206135554e-06,5.869286269444274e-06,0.01370454927373812,0.012842155612714215,0.7773226279234126,0.790703312104104
50%,593.2181305885315,0.9918451309204102,6.816744644311257e-06,5.9204635363130365e-06,0.013818751296271217,0.012844872068211183,0.7793385693556472,0.7915297269407945
75%,603.3628027439117,1.2258708477020264,7.246854693221394e-06,6.112901246524416e-06,0.014270812178652337,0.012884905029314499,0.7794754499062022,0.7919296189791446
max,606.2669456005096,1.457975149154663,8.111083843687084e-06,6.150608442112571e-06,0.014921440350944832,0.013059466663660408,0.7813394544033146,0.7965287583645912
