,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,261.56394658088686,2.6543948650360107,2.4908986162586188e-08,2.4864652559131173e-08,5.877446342680111e-06,5.903404790216349e-06,0.9993896681003683,0.9993847343664808
std,6.184123597946357,0.8222049258864675,2.1104900761610467e-09,2.0477041696731342e-09,7.663673286230785e-06,1.6413224517412759e-06,0.000794083471305487,0.00017131837449281203
min,256.6804256439209,1.1943788528442383,2.3650940761399397e-08,2.313326064040666e-08,9.950208005950716e-07,3.1660276970549464e-06,0.9979890558343136,0.9992212832466558
25%,257.1967680454254,2.8839828968048096,2.3781291602631427e-08,2.3804753723766225e-08,1.8347024493004632e-06,5.913696891241154e-06,0.9995412304597967,0.9992963198607884
50%,258.0176012516022,2.9817583560943604,2.389860043194858e-08,2.390325093415413e-08,2.821732912461505e-06,6.2205462432483925e-06,0.9997097877798311,0.9993496544452404
75%,265.1701786518097,3.0569539070129395,2.4585343538774396e-08,2.5210374232642607e-08,4.330065347835613e-06,6.7355993791469245e-06,0.9998113776509466,0.9993859625018408
max,270.754759311676,3.154900312423706,2.8628754478177143e-08,2.827162326468624e-08,1.9405710203207904e-05,7.481153740390327e-06,0.9998968887769536,0.9996704517778786
