,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,18.103020906448364,0.15572700500488282,0.0014130502473562955,0.0014034120133146644,0.0011289798689811282,0.0011037979038277714,0.9801944417446654,0.9872816615702067
std,4.36072213416553,0.10014864606024867,0.00013936320004067474,1.6467086473240796e-05,0.00010067720702307018,1.201982561517828e-05,0.009493525528444915,0.002053674925613397
min,12.552628755569458,0.09482717514038086,0.001312872627750039,0.0013779260916635394,0.0010435092623411223,0.0010886134300003595,0.9666797772357348,0.9846262353843268
25%,14.183481216430664,0.10123848915100098,0.0013169877929612994,0.0013957788469269872,0.0010528614130765784,0.0010979675022363116,0.9747286965090457,0.9865115950170239
50%,21.24356698989868,0.11983609199523926,0.001387935597449541,0.0014119655825197697,0.0011020940133628589,0.0011004943508271647,0.9831055480351549,0.9870176738479066
75%,21.25441002845764,0.1296062469482422,0.0013947021216154099,0.0014147032052278519,0.001156284116924149,0.001114121830550539,0.9859485471025751,0.9880423793102378
max,21.281017541885376,0.3331270217895508,0.0016527530970051885,0.0014166863402351737,0.0012901505392009316,0.001117792405524482,0.9905096398408166,0.9902104242915384
