,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,581.2533528804779,5.103002262115479,0.00042395449127070607,0.00041507402202114465,0.014152449122115041,0.013161678991590837,0.7758681886072825,0.7919503914438154
std,7.162925261070198,1.7159791720543112,2.506718352303311e-05,1.5004459711404954e-05,0.0007799243319967518,0.0002116265488728546,0.011898620055033267,0.003128341383218984
min,572.6974573135376,3.25864315032959,0.00039043763536028564,0.0003911650273948908,0.013187238382657028,0.012850461187969902,0.755402032224798,0.7901072708888139
25%,579.8370082378387,3.4006881713867188,0.00040396820986643434,0.00041031400905922055,0.01374240390101089,0.013134888656577269,0.7773373057113894,0.7902147484441271
50%,580.0985009670258,5.4705891609191895,0.00043695527710951865,0.0004204531433060765,0.014115381792006509,0.013154828354100706,0.7789896959562846,0.7904323150437251
75%,581.0384545326233,6.3115012645721436,0.0004433740978129208,0.00042497352114878595,0.014449553024582661,0.013229088804236337,0.7816234434530871,0.7915455856832732
max,592.5953433513641,7.073589563369751,0.00044503723620437086,0.00042846440919674933,0.015267668510318105,0.013439127955069958,0.7859884656908527,0.7974520371591379
