,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,3760.8720614910126,28.37220435142517,1.2410773706506006e-05,1.2419683662301395e-05,0.03326251904515008,0.03210325265438336,0.676391114865615,0.687666226957612
std,8.695236758323478,3.6591142104430983,6.143637095281239e-07,7.136394772156119e-07,0.0018904365064426813,0.0016437380073092852,0.01569463579982466,0.015900607010898606
min,3753.7751383781433,22.081748723983765,1.153342873294605e-05,1.1466830073914025e-05,0.030675098456468805,0.030522886190917836,0.6627306833033486,0.6659317752693099
25%,3755.7382547855377,28.565491437911987,1.2000753486063331e-05,1.1866843124153093e-05,0.03198809239903088,0.030734936680500476,0.6659301321843993,0.6781091989175574
50%,3759.520979166031,29.58608913421631,1.2756380783685017e-05,1.280173546547303e-05,0.03375748876998002,0.03183304972493684,0.6671966769996487,0.6892452113448477
75%,3759.5497670173645,30.28823757171631,1.2814489309675992e-05,1.2829332263208926e-05,0.034768243073081725,0.03294327001388701,0.6880622516791508,0.7011651506584771
max,3775.7761681079865,31.339454889297485,1.2948816220159642e-05,1.3133677384757902e-05,0.03512367252718898,0.03448212066167461,0.6980358301615275,0.703879798597868
