,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,73.63222708702088,1.6080771923065185,0.0008977802121080458,0.0008981944294646383,0.0007092942756586971,0.0007100536128846231,0.9962414763579174,0.9961922693933147
std,2.864684272615279,0.6067053842680076,1.0963123484227545e-05,2.0983334680798018e-05,1.4561212210211692e-05,9.335613839136374e-06,0.0017950844900194204,0.0013127492436926871
min,68.98712038993835,1.0625834465026855,0.000889444665517658,0.0008713586139492691,0.0006934547415641315,0.000701648670844858,0.9932089065558068,0.9940211296918773
25%,72.75986647605896,1.1943912506103516,0.0008906995644792914,0.0008934828802011907,0.0007025052246588574,0.000703117162113343,0.9959812477099893,0.9958746975537461
50%,75.1020257472992,1.481851577758789,0.0008919151150621474,0.0008967317990027368,0.0007067107902948252,0.0007097257154897966,0.9972571800578766,0.9969513309174303
75%,75.39575791358948,1.7043042182922363,0.0009013392846100032,0.0008993392111733556,0.0007112552438309772,0.000710574350053348,0.9973590416593433,0.9969999811679121
max,75.91636490821838,2.5972554683685303,0.000915502430871129,0.000930059642996639,0.0007325453779446943,0.0007252021659217706,0.9974010058065714,0.9971142076356077
