,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,4295.177015399933,4.4005852222442625,1.0311901041859528e-05,4.495845632845885e-06,0.0010925692139233645,0.0008609523297239422,0.3196495307971966,0.5020030699729922
std,9.089684797,2.827170250118454,8.04538840637736e-06,1.4119852333321728e-06,0.0006437187738877998,0.0004268444131797905,0.4350557934456327,0.23944686878272167
min,4285.986090421677,1.6611266136169434,2.93562197839492e-06,3.175248821207788e-06,0.0005573224785493829,0.0004091132460796144,-0.37200553274032844,0.1777526705623229
25%,4288.002959012985,2.875676155090332,4.9102181947091594e-06,3.682075885080849e-06,0.0005764119911913784,0.0005359921802904618,0.2293133058758984,0.337344375629568
50%,4292.796555042267,3.5603106021881104,6.564887371496297e-06,3.7957429412927013e-06,0.0009054856117912095,0.0007827578809063557,0.4025024253954016,0.5599425662427271
75%,4301.981964111328,4.902682304382324,1.5056725715112407e-05,5.1846022870449815e-06,0.001322800076200025,0.001134492218642158,0.5710225868562792,0.6967029880006415
max,4307.1175084114075,9.003130435943604,2.2092051949584857e-05,6.641558229603106e-06,0.002100825911884826,0.0014424061227011203,0.7674148685987321,0.7382727494297012
