,fit_time,score_time,test_loss_constraint,train_loss_constraint,test_mse,train_mse,test_R2,train_R2
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,1178.8580014705658,4.473925638198852,6.198151481839887e-07,6.152023388494854e-07,0.03293005428896517,0.031889510965580105,0.6795997683496381,0.689661931642698
std,21.68868704234094,1.8874157203346715,1.361237714792539e-07,1.417893592400503e-07,0.0019002647094590866,0.0005135828409587451,0.014381191820424022,0.004697120015453165
min,1151.7428712844849,2.317509651184082,5.154775521987176e-07,5.066144126431027e-07,0.02993162107008226,0.031100145485487143,0.6683250935346872,0.6844756932175032
25%,1165.249722957611,2.7505104541778564,5.646107297252456e-07,5.507473019861209e-07,0.03242080539647141,0.03165485436573964,0.6694905741035817,0.6864271343537895
50%,1176.017513036728,4.779752731323242,5.696956009160203e-07,5.57949476842623e-07,0.033245769841109815,0.03209694496242509,0.67570510929667,0.6889593902280532
75%,1199.1897583007812,5.988182544708252,5.910534355280106e-07,5.986780706734862e-07,0.034519476548764694,0.03228246151779111,0.6807653614318996,0.6921288014731366
max,1202.0901417732239,6.53367280960083,8.58238422551949e-07,8.620224321020942e-07,0.03453259858839768,0.032313148496457535,0.703712703381352,0.6963186389410075
